Date,LogReturn,PosteriorProb_HighVol
2000-01-04,-0.039099175340938,1.0
2000-01-05,0.0019203379615859,0.9946666666666667
2000-01-06,0.0009552217400569,0.996
2000-01-07,0.0267299497298706,0.998
2000-01-10,0.0111278248731394,0.9853333333333333
2000-01-11,-0.0131485767889028,0.9713333333333334
2000-01-12,-0.0043960196786097,0.9413333333333334
2000-01-13,0.0120962451654169,0.928
2000-01-14,0.0106147634973408,0.9186666666666666
2000-01-18,-0.0068555169767351,0.9053333333333333
2000-01-19,0.0005221568736222,0.908
2000-01-20,-0.0071206125698612,0.9186666666666666
2000-01-21,-0.0029165681339535,0.9406666666666667
2000-01-24,-0.0280225842284591,0.9966666666666667
2000-01-25,0.0060464836030405,0.992
2000-01-26,-0.0042216197666675,0.99
2000-01-27,-0.0039462040244824,0.9926666666666667
2000-01-28,-0.027840812729733,1.0
2000-01-31,0.0249048505291246,0.9993333333333333
2000-02-01,0.0105717409154067,0.968
2000-02-02,-0.0001135638507474,0.9486666666666667
2000-02-03,0.0111853476979196,0.9386666666666666
2000-02-04,-0.0004211330357219,0.938
2000-02-07,-9.12760143166444e-05,0.9453333333333334
2000-02-08,0.0121984936725935,0.9686666666666667
2000-02-09,-0.0210351170597511,0.9926666666666667
2000-02-10,0.0036202428527764,0.9906666666666667
2000-02-11,-0.0211922989891896,0.9966666666666667
2000-02-14,0.0020308868535491,0.9886666666666667
2000-02-15,0.0086749475530797,0.986
2000-02-16,-0.0103093728166805,0.9873333333333333
2000-02-17,0.0004250581374747,0.9913333333333333
2000-02-18,-0.030847103081692,0.9993333333333333
2000-02-22,0.0045066734811152,0.9773333333333334
2000-02-23,0.0062811391063376,0.9746666666666667
2000-02-24,-0.0053497303162453,0.976
2000-02-25,-0.0149400893854355,0.9826666666666667
2000-02-28,0.0109570787459805,0.9826666666666667
2000-02-29,0.0135350730966457,0.9813333333333333
2000-03-01,0.009302114728482,0.9806666666666667
2000-03-02,0.0018617281349938,0.9833333333333333
2000-03-03,0.0196428537973814,0.9966666666666667
2000-03-06,-0.0127767019942111,1.0
2000-03-07,-0.0259652971202895,1.0
2000-03-08,0.0081401286069344,1.0
2000-03-09,0.0252795704034235,1.0
2000-03-10,-0.0047340549396845,1.0
2000-03-13,-0.0082413052331295,0.9993333333333333
2000-03-14,-0.017843727175416,1.0
2000-03-15,0.0239826197730333,1.0
2000-03-16,0.0465457788590508,1.0
2000-03-17,0.0041054613147593,0.9846666666666667
2000-03-20,-0.0053678304136347,0.9806666666666667
2000-03-21,0.0252445130804958,0.98
2000-03-22,0.0045216286094614,0.8333333333333334
2000-03-23,0.0176424980445011,0.7746666666666666
2000-03-24,7.200798340682352e-05,0.5513333333333333
2000-03-27,-0.0023596196528952,0.474
2000-03-28,-0.0106413844066008,0.44066666666666665
2000-03-29,0.0005238551715322,0.41
2000-03-30,-0.0137498496204336,0.4
2000-03-31,0.0071387626855159,0.376
2000-04-03,0.0049192256617626,0.36733333333333335
2000-04-04,-0.0074916139480272,0.37533333333333335
2000-04-05,-0.0049361190810604,0.3933333333333333
2000-04-06,0.0093485635129827,0.43733333333333335
2000-04-07,0.0099480952948579,0.49666666666666665
2000-04-10,-0.0078721113213834,0.5746666666666667
2000-04-11,-0.0025756625353889,0.6906666666666667
2000-04-12,-0.0225229361754109,0.9966666666666667
2000-04-13,-0.0183381808216607,1.0
2000-04-14,-0.0600450975220229,1.0
2000-04-17,0.0325481108133402,1.0
2000-04-18,0.0282602968007043,1.0
2000-04-19,-0.0098569083819347,0.9926666666666667
2000-04-20,0.0049406415190067,0.99
2000-04-24,-0.0032677404242178,0.9906666666666667
2000-04-25,0.0327342935409904,1.0
2000-04-26,-0.0111965392435971,0.994
2000-04-27,0.0026863820339736,0.9886666666666667
2000-04-28,-0.0085626106763042,0.9866666666666667
2000-05-01,0.0108331626289041,0.9906666666666667
2000-05-02,-0.0150695315329277,0.9966666666666667
2000-05-03,-0.0218015011639107,0.9993333333333333
2000-05-04,-0.0039155274882096,0.9993333333333333
2000-05-05,0.0162272640983281,0.998
2000-05-08,-0.0059227005901944,0.9966666666666667
2000-05-09,-0.0084829240727154,0.998
2000-05-10,-0.0208150540471356,0.9993333333333333
2000-05-11,0.0177441064451505,0.9993333333333333
2000-05-12,0.0092973249689617,0.9986666666666667
2000-05-15,0.0218571374325819,1.0
2000-05-16,0.0093751053963181,0.9986666666666667
2000-05-17,-0.0125197182640962,0.9986666666666667
2000-05-18,-0.007341489575181,0.9986666666666667
2000-05-19,-0.0212795008342977,1.0
2000-05-22,-0.0044378369728223,0.9993333333333333
2000-05-23,-0.0193620835591028,1.0
2000-05-24,0.0181691840985208,1.0
2000-05-25,-0.0126091133279741,1.0
2000-05-26,-0.0025366559841284,0.998
2000-05-30,0.0317330022412738,1.0
2000-05-31,-0.0013014022930985,0.974
2000-06-01,0.0196632698740292,0.9686666666666667
2000-06-02,0.0194464568964204,0.914
2000-06-05,-0.0065401690120085,0.568
2000-06-06,-0.006692993404042,0.378
2000-06-07,0.0092312684466811,0.2633333333333333
2000-06-08,-0.0066074854766264,0.188
2000-06-09,-0.0032344716999073,0.144
2000-06-12,-0.0075440522838054,0.12333333333333334
2000-06-13,0.0160802122174424,0.11133333333333334
2000-06-14,0.0007483708834083,0.07733333333333334
2000-06-15,0.0055538912368463,0.064
2000-06-16,-0.0096970509114179,0.066
2000-06-19,0.0146013991327151,0.07066666666666667
2000-06-20,-0.006786129112329,0.06466666666666666
2000-06-21,0.0021522632116842,0.062
