scenario,regime,mu_daily,sigma_daily,mu_annual,sigma_annual,sharpe_like
baseline,low_vol_bull,0.0007981308665832892,0.007048619351490234,0.20112897837898885,0.1118933633424032,1.7975058785525742
baseline,high_vol_bear,-0.0010666356063164214,0.019531567700516023,-0.26879217279173817,0.3100540251047225,-0.8669204429807098
diffuse,low_vol_bull,0.0008045920169350538,0.007034847423920942,0.20275718826763356,0.11167474076986915,1.8156047363070242
diffuse,high_vol_bear,-0.001103422972388032,0.01953743757930498,-0.27806258904178405,0.31014720654173256,-0.896550357948714
informative_persistent,low_vol_bull,0.0008125078627518499,0.007043788470994265,0.20475198141346615,0.11181667549196835,1.8311399486042959
informative_persistent,high_vol_bear,-0.0010958390964938944,0.01952509763731678,-0.2761514523164614,0.3099513160355701,-0.8909510559547686
